,month,cpi,year
757,1,24.542,1961
756,2,24.565,1961
755,3,24.585,1961
754,4,24.187,1961
753,5,24.053,1961
752,6,24.223,1961
751,7,24.276,1961
750,8,24.517,1961
749,9,24.393,1961
748,10,24.463,1961
747,11,24.521,1961
746,12,24.487,1961
745,1,24.642,1962
744,2,24.78,1962
743,3,24.425,1962
742,4,24.303,1962
741,5,24.327,1962
740,6,24.442,1962
739,7,24.499,1962
738,8,24.424,1962
737,9,24.523,1962
736,10,24.469,1962
735,11,24.627,1962
734,12,24.696,1962
733,1,25.17,1963
732,2,25.354,1963
731,3,24.879,1963
730,4,24.63,1963
729,5,24.756,1963
728,6,24.832,1963
727,7,24.764,1963
726,8,24.825,1963
725,9,24.934,1963
724,10,25.525,1963
723,11,25.34,1963
722,12,25.386,1963
721,1,25.541,1964
720,2,25.637,1964
719,3,25.545,1964
718,4,25.209,1964
717,5,25.213,1964
716,6,25.137,1964
715,7,25.257,1964
714,8,25.674,1964
713,9,25.606,1964
712,10,25.444,1964
711,11,25.429,1964
710,12,25.68,1964
709,1,25.742,1965
708,2,25.661,1965
707,3,25.491,1965
706,4,25.122,1965
705,5,25.32,1965
704,6,25.412,1965
703,7,25.256,1965
702,8,25.411,1965
701,9,25.494,1965
700,10,25.564,1965
699,11,25.747,1965
698,12,25.937,1965
697,1,26.251,1966
696,2,26.01,1966
695,3,25.803,1966
694,4,25.901,1966
693,5,25.849,1966
692,6,25.923,1966
691,7,26.018,1966
690,8,26.199,1966
689,9,26.042,1966
688,10,25.886,1966
687,11,26.145,1966
686,12,26.306,1966
685,1,26.704,1967
684,2,26.72,1967
683,3,26.583,1967
682,4,26.171,1967
681,5,26.406,1967
680,6,26.711,1967
679,7,27.08,1967
678,8,26.967,1967
677,9,27.175,1967
676,10,27.076,1967
675,11,27.329,1967
674,12,27.569,1967
673,1,27.588,1968
672,2,27.281,1968
671,3,27.183,1968
670,4,27.12,1968
669,5,26.832,1968
668,6,26.832,1968
667,7,26.969,1968
666,8,27.179,1968
665,9,27.019,1968
664,10,26.972,1968
663,11,26.902,1968
662,12,26.817,1968
661,1,26.843,1969
660,2,26.793,1969
659,3,26.936,1969
658,4,26.839,1969
657,5,27.1,1969
656,6,26.962,1969
655,7,26.884,1969
654,8,27.01,1969
653,9,27.04,1969
652,10,26.847,1969
651,11,27.118,1969
650,12,27.496,1969
649,1,27.104,1970
648,2,27.224,1970
647,3,26.889,1970
646,4,26.931,1970
645,5,26.949,1970
644,6,26.914,1970
643,7,27.181,1970
642,8,27.159,1970
641,9,27.114,1970
640,10,27.142,1970
639,11,27.08,1970
638,12,27.263,1970
637,1,28.068,1971
636,2,27.573,1971
635,3,27.444,1971
634,4,27.116,1971
633,5,27.405,1971
632,6,27.482,1971
631,7,27.624,1971
630,8,27.49,1971
629,9,27.701,1971
628,10,27.536,1971
627,11,27.691,1971
626,12,27.942,1971
625,1,27.979,1972
624,2,27.97,1972
623,3,27.916,1972
622,4,27.594,1972
621,5,27.703,1972
620,6,27.8,1972
619,7,27.968,1972
618,8,28.215,1972
617,9,28.415,1972
616,10,28.372,1972
615,11,28.648,1972
614,12,29.583,1972
613,1,29.496,1973
612,2,30.515,1973
611,3,30.634,1973
610,4,30.833,1973
609,5,32.203,1973
608,6,33.282,1973
607,7,34.865,1973
606,8,35.261,1973
605,9,35.268,1973
604,10,36.469,1973
603,11,38.039,1973
602,12,37.635,1973
601,1,39.274,1974
600,2,40.427,1974
599,3,41.132,1974
598,4,40.674,1974
597,5,40.702,1974
596,6,40.858,1974
595,7,41.177,1974
594,8,41.456,1974
593,9,41.898,1974
592,10,42.287,1974
591,11,42.382,1974
590,12,42.702,1974
589,1,42.893,1975
588,2,42.978,1975
587,3,42.158,1975
586,4,41.87,1975
585,5,42.035,1975
584,6,42.156,1975
583,7,42.268,1975
582,8,42.444,1975
581,9,42.457,1975
580,10,42.041,1975
579,11,42.126,1975
578,12,42.302,1975
577,1,42.288,1976
576,2,42.28,1976
575,3,41.74,1976
574,4,41.336,1976
573,5,41.502,1976
572,6,41.288,1976
571,7,41.259,1976
570,8,41.204,1976
569,9,41.128,1976
568,10,41.087,1976
567,11,41.33,1976
566,12,41.657,1976
565,1,42.209,1977
564,2,42.491,1977
563,3,42.205,1977
562,4,41.852,1977
561,5,42.186,1977
560,6,42.338,1977
559,7,42.768,1977
558,8,43.41,1977
557,9,43.692,1977
556,10,43.073,1977
555,11,43.434,1977
554,12,44.318,1977
553,1,44.054,1978
552,2,44.354,1978
551,3,43.764,1978
550,4,44.025,1978
549,5,44.176,1978
548,6,44.279,1978
547,7,44.81,1978
546,8,45.02,1978
545,9,45.095,1978
544,10,44.932,1978
543,11,45.198,1978
542,12,45.163,1978
541,1,45.193,1979
540,2,45.053,1979
539,3,44.909,1979
538,4,45.112,1979
537,5,45.44,1979
536,6,45.56,1979
535,7,46.126,1979
534,8,46.945,1979
533,9,47.685,1979
532,10,47.696,1979
531,11,48.106,1979
530,12,48.466,1979
529,1,48.52,1980
528,2,49.283,1980
527,3,49.809,1980
526,4,50.024,1980
525,5,49.996,1980
524,6,50.13,1980
523,7,50.566,1980
522,8,50.951,1980
521,9,50.825,1980
520,10,50.995,1980
519,11,51.329,1980
518,12,51.375,1980
517,1,51.527,1981
516,2,52.143,1981
515,3,52.262,1981
514,4,53.318,1981
513,5,54.003,1981
512,6,54.366,1981
511,7,55.182,1981
510,8,55.912,1981
509,9,55.811,1981
508,10,55.831,1981
507,11,56.203,1981
506,12,56.689,1981
505,1,57.247,1982
504,2,56.808,1982
503,3,56.203,1982
502,4,56.223,1982
501,5,56.258,1982
500,6,56.407,1982
499,7,56.257,1982
498,8,56.49,1982
497,9,56.584,1982
496,10,56.43,1982
495,11,56.778,1982
494,12,57.157,1982
493,1,56.976,1983
492,2,57.091,1983
491,3,57.031,1983
490,4,56.955,1983
489,5,57.154,1983
488,6,56.789,1983
487,7,57.002,1983
486,8,57.042,1983
485,9,57.25,1983
484,10,57.128,1983
483,11,57.653,1983
482,12,57.811,1983
481,1,58.395,1984
480,2,59.166,1984
479,3,58.581,1984
478,4,58.586,1984
477,5,58.541,1984
476,6,58.702,1984
475,7,58.867,1984
474,8,59.007,1984
473,9,58.612,1984
472,10,58.583,1984
471,11,58.364,1984
470,12,58.338,1984
469,1,58.6,1985
468,2,58.891,1985
467,3,59.044,1985
466,4,58.931,1985
465,5,58.919,1985
464,6,59.068,1985
463,7,59.263,1985
462,8,59.331,1985
461,9,58.863,1985
460,10,58.851,1985
459,11,58.701,1985
458,12,58.739,1985
457,1,58.712,1986
456,2,58.556,1986
455,3,58.387,1986
454,4,58.092,1986
453,5,58.048,1986
452,6,57.962,1986
451,7,57.87,1986
450,8,57.846,1986
449,9,58.082,1986
448,10,58.066,1986
447,11,57.886,1986
446,12,57.93,1986
445,1,58.3,1987
444,2,57.936,1987
443,3,57.929,1987
442,4,58.134,1987
441,5,58.29,1987
440,6,58.325,1987
439,7,58.564,1987
438,8,58.637,1987
437,9,58.603,1987
436,10,58.586,1987
435,11,58.688,1987
434,12,58.814,1987
433,1,58.729,1988
432,2,59.181,1988
431,3,59.028,1988
430,4,59.046,1988
429,5,59.234,1988
428,6,59.169,1988
427,7,59.512,1988
426,8,59.49,1988
425,9,59.544,1988
424,10,59.413,1988
423,11,59.494,1988
422,12,59.641,1988
421,1,59.616,1989
420,2,59.773,1989
419,3,59.714,1989
418,4,60.057,1989
417,5,60.482,1989
416,6,60.757,1989
415,7,60.931,1989
414,8,61.005,1989
413,9,61.001,1989
412,10,61.309,1989
411,11,61.541,1989
410,12,61.616,1989
409,1,61.966,1990
408,2,62.087,1990
407,3,61.907,1990
406,4,62.254,1990
405,5,62.415,1990
404,6,62.501,1990
403,7,62.53,1990
402,8,62.753,1990
401,9,63.181,1990
400,10,63.682,1990
399,11,63.666,1990
398,12,63.969,1990
397,1,64.036,1991
396,2,64.559,1991
395,3,64.249,1991
394,4,64.583,1991
393,5,64.792,1991
392,6,64.943,1991
391,7,65.029,1991
390,8,65.19,1991
389,9,65.153,1991
388,10,65.182,1991
387,11,65.286,1991
386,12,65.808,1991
385,1,65.808,1992
384,2,65.719,1992
383,3,65.603,1992
382,4,66.015,1992
381,5,66.357,1992
380,6,66.365,1992
379,7,66.65,1992
378,8,66.532,1992
377,9,66.577,1992
376,10,66.743,1992
375,11,66.931,1992
374,12,66.986,1992
373,1,67.5,1993
372,2,67.184,1993
371,3,67.348,1993
370,4,67.546,1993
369,5,67.733,1993
368,6,67.756,1993
367,7,68.078,1993
366,8,67.971,1993
365,9,68.008,1993
364,10,68.249,1993
363,11,68.463,1993
362,12,68.697,1993
361,1,69.045,1994
360,2,69.269,1994
359,3,68.922,1994
358,4,69.44,1994
357,5,69.791,1994
356,6,70.124,1994
355,7,70.259,1994
354,8,70.349,1994
353,9,70.376,1994
352,10,70.616,1994
351,11,70.877,1994
350,12,70.672,1994
349,1,70.826,1995
348,2,70.899,1995
347,3,70.681,1995
346,4,71.022,1995
345,5,71.296,1995
344,6,71.401,1995
343,7,71.288,1995
342,8,71.308,1995
341,9,71.312,1995
340,10,71.39,1995
339,11,71.535,1995
338,12,71.267,1995
337,1,71.464,1996
336,2,72.05,1996
335,3,71.735,1996
334,4,71.813,1996
333,5,72.156,1996
332,6,72.228,1996
331,7,72.23,1996
330,8,72.331,1996
329,9,72.364,1996
328,10,72.384,1996
327,11,72.558,1996
326,12,72.692,1996
325,1,72.846,1997
324,2,73.219,1997
323,3,72.859,1997
322,4,73.195,1997
321,5,73.346,1997
320,6,73.474,1997
319,7,73.761,1997
318,8,74.013,1997
317,9,74.168,1997
316,10,74.205,1997
315,11,74.258,1997
314,12,74.181,1997
313,1,73.952,1998
312,2,73.904,1998
311,3,73.524,1998
310,4,73.566,1998
309,5,73.393,1998
308,6,73.333,1998
307,7,73.408,1998
306,8,73.3,1998
305,9,73.231,1998
304,10,73.116,1998
303,11,73.283,1998
302,12,73.121,1998
301,1,73.273,1999
300,2,73.364,1999
299,3,73.142,1999
298,4,73.331,1999
297,5,73.499,1999
296,6,73.426,1999
295,7,73.528,1999
294,8,73.574,1999
293,9,73.546,1999
292,10,73.491,1999
291,11,73.545,1999
290,12,73.616,1999
289,1,73.942,2000
288,2,74.294,2000
287,3,74.039,2000
286,4,74.146,2000
285,5,73.878,2000
284,6,73.999,2000
283,7,74.378,2000
282,8,74.769,2000
281,9,74.787,2000
280,10,74.844,2000
279,11,75.009,2000
278,12,75.135,2000
277,1,75.413,2001
276,2,75.27,2001
275,3,75.404,2001
274,4,75.611,2001
273,5,75.307,2001
272,6,74.894,2001
271,7,75.343,2001
270,8,75.299,2001
269,9,75.195,2001
268,10,75.005,2001
267,11,74.847,2001
266,12,74.693,2001
265,1,74.584,2002
264,2,74.804,2002
263,3,74.734,2002
262,4,74.814,2002
261,5,75.047,2002
260,6,75.0,2002
259,7,75.023,2002
258,8,74.97,2002
257,9,74.877,2002
256,10,74.855,2002
255,11,75.022,2002
254,12,75.019,2002
253,1,75.235,2003
252,2,75.097,2003
251,3,75.307,2003
250,4,75.46,2003
249,5,74.981,2003
248,6,74.757,2003
247,7,75.224,2003
246,8,75.312,2003
245,9,75.392,2003
244,10,75.34,2003
243,11,75.443,2003
242,12,75.578,2003
241,1,75.741,2004
240,2,76.613,2004
239,3,76.051,2004
238,4,76.564,2004
237,5,76.747,2004
236,6,76.147,2004
235,7,76.758,2004
234,8,76.659,2004
233,9,76.816,2004
232,10,76.788,2004
231,11,76.767,2004
230,12,76.569,2004
229,1,76.038,2005
228,2,76.597,2005
227,3,76.373,2005
226,4,76.843,2005
225,5,76.72,2005
224,6,76.02,2005
223,7,76.817,2005
222,8,77.18,2005
221,9,77.289,2005
220,10,77.604,2005
219,11,77.509,2005
218,12,77.534,2005
217,1,77.355,2006
216,2,77.509,2006
215,3,77.252,2006
214,4,77.673,2006
213,5,77.556,2006
212,6,77.069,2006
211,7,77.651,2006
210,8,77.694,2006
209,9,77.627,2006
208,10,77.93,2006
207,11,77.93,2006
206,12,78.161,2006
205,1,76.904,2007
204,2,77.479,2007
203,3,77.43,2007
202,4,78.025,2007
201,5,78.537,2007
200,6,78.384,2007
199,7,79.958,2007
198,8,80.374,2007
197,9,79.963,2007
196,10,81.095,2007
195,11,81.716,2007
194,12,81.147,2007
193,1,82.002,2008
192,2,82.558,2008
191,3,82.632,2008
190,4,83.933,2008
189,5,84.451,2008
188,6,84.296,2008
187,7,85.216,2008
186,8,85.544,2008
185,9,85.361,2008
184,10,86.304,2008
183,11,86.245,2008
182,12,85.501,2008
181,1,85.507,2009
180,2,85.236,2009
179,3,84.751,2009
178,4,84.206,2009
177,5,84.656,2009
176,6,84.283,2009
175,7,85.003,2009
174,8,85.307,2009
173,9,85.008,2009
172,10,85.521,2009
171,11,85.566,2009
170,12,85.05,2009
169,1,85.682,2010
168,2,86.048,2010
167,3,86.115,2010
166,4,86.901,2010
165,5,87.402,2010
164,6,86.567,2010
163,7,87.676,2010
162,8,88.081,2010
161,9,88.129,2010
160,10,88.525,2010
159,11,88.818,2010
158,12,88.954,2010
157,1,90.405,2011
156,2,90.339,2011
155,3,90.458,2011
154,4,90.774,2011
153,5,91.318,2011
152,6,91.103,2011
151,7,92.448,2011
150,8,93.115,2011
149,9,92.941,2011
148,10,93.322,2011
147,11,93.842,2011
146,12,93.877,2011
145,1,94.748,2012
144,2,94.491,2012
143,3,95.207,2012
142,4,95.718,2012
141,5,95.917,2012
140,6,95.924,2012
139,7,96.146,2012
138,8,96.744,2012
137,9,97.298,2012
136,10,97.1,2012
135,11,97.225,2012
134,12,97.936,2012
133,1,98.121,2013
132,2,99.107,2013
131,3,98.574,2013
130,4,97.112,2013
129,5,97.457,2013
128,6,97.656,2013
127,7,97.929,2013
126,8,98.718,2013
125,9,98.865,2013
124,10,99.02,2013
123,11,99.72,2013
122,12,99.404,2013
121,1,99.506,2014
120,2,99.484,2014
119,3,99.749,2014
118,4,99.342,2014
117,5,99.676,2014
116,6,99.508,2014
115,7,99.213,2014
114,8,99.742,2014
113,9,99.553,2014
112,10,99.255,2014
111,11,99.441,2014
110,12,99.328,2014
109,1,99.114,2015
108,2,99.211,2015
107,3,99.449,2015
106,4,98.829,2015
105,5,99.279,2015
104,6,99.171,2015
103,7,98.818,2015
102,8,98.911,2015
101,9,98.912,2015
100,10,98.487,2015
99,11,98.684,2015
98,12,98.693,2015
97,1,98.476,2016
96,2,98.375,2016
95,3,98.416,2016
94,4,98.365,2016
93,5,97.724,2016
92,6,98.449,2016
91,7,98.173,2016
90,8,98.657,2016
89,9,98.666,2016
88,10,98.383,2016
87,11,98.699,2016
86,12,98.854,2016
85,1,99.026,2017
84,2,99.023,2017
83,3,99.064,2017
82,4,98.762,2017
81,5,99.098,2017
80,6,98.956,2017
79,7,98.726,2017
78,8,99.056,2017
77,9,99.036,2017
76,10,98.75,2017
75,11,99.322,2017
74,12,99.225,2017
73,1,99.035,2018
72,2,99.501,2018
71,3,99.299,2018
70,4,98.833,2018
69,5,99.449,2018
68,6,99.505,2018
67,7,99.359,2018
66,8,99.778,2018
65,9,99.753,2018
64,10,99.447,2018
63,11,99.61,2018
62,12,99.686,2018
61,1,99.387,2019
60,2,99.953,2019
59,3,99.972,2019
58,4,99.753,2019
57,5,100.325,2019
56,6,100.038,2019
55,7,99.587,2019
54,8,100.209,2019
53,9,100.147,2019
52,10,99.93,2019
51,11,100.254,2019
50,12,100.445,2019
49,1,100.204,2020
48,2,100.279,2020
47,3,99.933,2020
46,4,99.012,2020
45,5,99.48,2020
44,6,99.5,2020
43,7,99.178,2020
42,8,99.807,2020
41,9,100.139,2020
40,10,99.711,2020
39,11,100.105,2020
38,12,100.469,2020
37,1,100.44,2021
36,2,101.015,2021
35,3,101.239,2021
34,4,101.07,2021
33,5,101.883,2021
32,6,101.87,2021
31,7,101.672,2021
30,8,102.231,2021
29,9,102.657,2021
28,10,102.95,2021
27,11,103.959,2021
26,12,104.439,2021
25,1,104.472,2022
24,2,105.379,2022
23,3,106.691,2022
22,4,106.547,2022
21,5,107.598,2022
20,6,108.671,2022
19,7,108.836,2022
18,8,109.863,2022
17,9,110.339,2022
16,10,109.893,2022
15,11,110.959,2022
14,12,111.186,2022
13,1,111.397,2023
12,2,112.019,2023
11,3,112.583,2023
10,4,112.669,2023
9,5,113.034,2023
8,6,113.576,2023
7,7,113.309,2023
6,8,114.303,2023
5,9,114.88,2023
4,10,115.111,2023
3,11,114.91,2023
2,12,115.343,2023
1,1,114.572,2024
0,2,115.772,2024
